trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.3, 'e': 0.261845668580326}",25,15,-23.692283619190857,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.3, 'e': 0.2592402606458915}",25,17,15.735842118029714,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.2566607769535559}",25,13,-45.595934133047166,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
137,False,"{'a': 0.3, 'e': 0.25410695955280027}",25,17,-47.802320119707396,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.3, 'e': 0.25157855305975646}",25,16,-25.724878687251785,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.3, 'e': 0.24907530463166816}",30,23,-27.790229536497023,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.3, 'e': 0.24659696394160643}",25,17,14.958176842057991,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.3, 'e': 0.2441432831534371}",25,11,14.29744206351204,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.3, 'e': 0.24171401689703645}",20,9,-42.495169840072144,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
143,False,"{'a': 0.3, 'e': 0.23930892224375455}",30,13,16.030269355644066,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.3, 'e': 0.23692775868212176}",25,18,-14.541433883638133,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.3, 'e': 0.23457028809379765}",25,18,2.050522937838934,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.3, 'e': 0.23223627472975883}",20,8,9.016616830480736,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.3, 'e': 0.22992548518672384}",25,15,-2.351363969152912,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.3, 'e': 0.22763768838381274}",25,11,25.646287338378556,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.3, 'e': 0.22537265553943872}",20,12,16.15180692665476,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.3, 'e': 0.22313016014842982}",20,14,11.895994472497886,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.3, 'e': 0.2209099779593782}",25,19,12.012766137167434,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.3, 'e': 0.21871188695221475}",25,6,-37.95864359435696,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
153,False,"{'a': 0.3, 'e': 0.21653566731600707}",30,9,-11.947366474262251,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.3, 'e': 0.21438110142697794}",20,9,17.03588254928171,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.3, 'e': 0.21224797382674304}",30,13,32.911165016258764,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.3, 'e': 0.21013607120076472}",20,13,1.5146248448845758,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.3, 'e': 0.20804518235702046}",25,14,20.22461234112383,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.3, 'e': 0.20597509820488344}",20,9,11.559622671678586,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
